,Name,Team,Pos,Age,Actual Salary,Predicted Salary,Value Index
54,"Kluber, Corey",TBR,SP,36,8000000,16013832,200.1729
55,"Kopech, Michael",CHW,SP,26,730000,2007399,274.98616438356163
56,"Kremer, Dean",BAL,SP,26,705500,583709,82.73692416725726
57,"Kuhl, Chad",COL,SP,29,3000000,3943777,131.45923333333334
58,"Lauer, Eric",MIL,SP,27,2425000,3724051,153.56911340206184
59,"Lodolo, Nick",CIN,SP,24,700000,2759780,394.2542857142857
60,"Lopez, Pablo",MIA,SP,26,2450000,2356440,96.18122448979591
61,"Luzardo, Jesus",MIA,SP,24,715000,3383119,473.16349650349656
62,"Lyles, Jordan",BAL,SP,31,5500000,6820068,124.00123636363635
63,"Lynch, Daniel",KCR,SP,25,703600,831696,118.20579874928936
64,"Lynn, Lance",CHW,SP,35,18500000,19977433,107.98612432432432
65,"Mahle, Tyler",MIN,SP,27,5200000,4060656,78.08953846153847
66,"Manaea, Sean",SDP,SP,30,9750000,6464628,66.30387692307693
67,"Manoah, Alek",TOR,SP,24,730000,-342138,-46.86821917808219
68,"Marquez, German",COL,SP,27,11000000,4036171,36.692463636363634
69,"McClanahan, Shane",TBR,SP,25,711400,7412573,1041.969777902727
70,"McKenzie, Triston",CLE,SP,24,707100,1006051,142.27846132088814
71,"Mikolas, Miles",STL,SP,33,15750000,12046922,76.48839365079365
72,"Montas, Frankie",NYY,SP,29,5025000,9348669,186.04316417910448
73,"Montgomery, Jordan",STL,SP,29,6000000,7562748,126.04580000000001
74,"Morton, Charlie",ATL,SP,38,20000000,22167665,110.838325
75,"Musgrove, Joe",SDP,SP,29,8625000,7698726,89.26059130434783
76,"Nola, Aaron",PHI,SP,29,15000000,11336027,75.57351333333332
77,"Odorizzi, Jake",ATL,SP,32,5000000,8309923,166.19846
78,"Ohtani, Shohei",LAA,SP,27,5500000,9675728,175.92232727272727
79,"Otto, Glenn",TEX,SP,26,700000,-686124,-98.01771428571429
80,"Perez, Martin",TEX,SP,31,4000000,5547663,138.691575
81,"Pivetta, Nick",BOS,SP,29,2650000,5849379,220.7312830188679
82,"Plesac, Zach",CLE,SP,27,2000000,1506707,75.33535
83,"Quantrill, Cal",CLE,SP,27,2510000,2224480,88.62470119521913
84,"Quintana, Jose",STL,SP,33,2000000,7395417,369.77085
85,"Rasmussen, Drew",TBR,SP,26,711800,5030786,706.769598201742
86,"Ray, Robbie",SEA,SP,30,21000000,9548592,45.46948571428571
87,"Rodon, Carlos",SFG,SP,29,21500000,10087045,46.91648837209302
88,"Rogers, Trevor",MIA,SP,24,722000,93621,12.966897506925207
89,"Ryan, Joe",MIN,SP,26,701650,2348049,334.6467612057293
90,"Sandoval, Patrick",LAA,SP,25,720000,-1826574,-253.69083333333333
91,"Scherzer, Max",NYM,SP,37,43333333,24943843,57.56271505817473
92,"Severino, Luis",NYY,SP,28,11000000,10390252,94.45683636363637
93,"Singer, Brady",KCR,SP,25,726250,2935304,404.1726678141136
94,"Skubal, Tarik",DET,SP,25,713600,2344657,328.56740470852014
95,"Smyly, Drew",CHC,SP,33,4250000,12469491,293.3997882352941
96,"Snell, Blake",SDP,SP,29,12500000,9629544,77.036352
97,"Springs, Jeffrey",TBR,SP,29,947500,7373714,778.2283905013193
98,"Steele, Justin",CHC,SP,26,705000,-723146,-102.57390070921986
99,"Strider, Spencer",ATL,SP,23,710000,5896082,830.4340845070423
100,"Stripling, Ross",TOR,SP,32,3790000,13528138,356.94295514511873
101,"Stroman, Marcus",CHC,SP,31,25000000,7928825,31.715300000000003
102,"Suarez, Jose",LAA,SP,24,720000,-1289647,-179.1176388888889
103,"Suarez, Ranger",PHI,SP,26,730000,-600481,-82.25767123287672
104,"Syndergaard, Noah",PHI,SP,29,21000000,5606419,26.69723333333333
105,"Taillon, Jameson",NYY,SP,30,5800000,10738795,185.1516379310345
106,"Urias, Julio",LAD,SP,25,8000000,2217153,27.7144125
107,"Urquidy, Jose",HOU,SP,27,748700,5379295,718.4847068251636
108,"Valdez, Framber",HOU,SP,28,3000000,4915285,163.84283333333335
109,"Verlander, Justin",HOU,SP,39,25000000,25487831,101.951324
110,"Wacha, Michael",BOS,SP,30,7000000,7799566,111.42237142857144
111,"Wainwright, Adam",STL,SP,40,17500000,14290338,81.65907428571428
112,"Walker, Taijuan",NYM,SP,29,7000000,5478461,78.26372857142857
113,"Webb, Logan",SFG,SP,25,730000,-1635052,-223.97972602739725
114,"Wells, Tyler",BAL,SP,27,704500,3523315,500.11568488289566
115,"Wheeler, Zack",PHI,SP,32,26000000,14847461,57.105619230769236
116,"Wood, Alex",SFG,SP,31,12500000,10940906,87.527248
117,"Woodruff, Brandon",MIL,SP,29,6800000,12179848,179.1154117647059
118,"Wright, Kyle",ATL,SP,26,720000,3693424,512.9755555555556
119,"Abreu, Bryan",HOU,RP,25,719600,1208517,167.9428849360756
120,"Acevedo, Domingo",OAK,RP,28,700000,752850,107.54999999999998
121,"Adam, Jason",TBR,RP,30,900000,3738557,415.39522222222223
122,"Akin, Keegan",BAL,RP,27,709500,342857,48.32374911909796
123,"Alvarado, Jose",PHI,RP,27,1900000,1961725,103.2486842105263
124,"Armstrong, Shawn",TBR,RP,31,700000,2973856,424.8365714285714
